# 260410_15:53:53.183514
t	CH1	CH2
0.000000e+00	-7.590928e-04	-8.847605e-01
1.000000e-08	-3.016237e-03	-1.029630e+00
2.000000e-08	6.165311e-03	-1.209151e+00
3.000000e-08	4.664622e-02	-1.469701e+00
4.000000e-08	6.790860e-02	-1.620178e+00
5.000000e-08	-8.154546e-02	-1.873237e+00
6.000000e-08	-5.639870e-03	-2.144341e+00
7.000000e-08	-8.825492e-02	-2.387022e+00
8.000000e-08	-2.800601e-02	-2.473659e+00
9.000000e-08	1.864964e-01	-2.514861e+00
1.000000e-07	-1.198150e-01	-2.745840e+00
1.100000e-07	1.761382e-03	-2.965420e+00
1.200000e-07	1.590500e-01	-3.053363e+00
1.300000e-07	-2.065658e-01	-3.293313e+00
1.400000e-07	8.926208e-02	-3.462711e+00
1.500000e-07	9.031401e-02	-3.607625e+00
1.600000e-07	-1.977200e-01	-3.860330e+00
1.700000e-07	1.434381e-01	-4.008053e+00
1.800000e-07	2.387260e-02	-4.145470e+00
1.900000e-07	-5.370722e-02	-4.378499e+00
2.000000e-07	6.454402e-02	-4.463258e+00
2.100000e-07	-1.811690e-01	-4.692897e+00
2.200000e-07	1.322456e-01	-4.853183e+00
2.300000e-07	5.959114e-02	-5.030605e+00
2.400000e-07	-8.945710e-02	-5.219204e+00
2.500000e-07	7.619650e-02	-5.439049e+00
2.600000e-07	-9.189030e-02	-5.618605e+00
2.700000e-07	9.348582e-02	-5.727549e+00
2.800000e-07	-4.177388e-02	-5.913287e+00
2.900000e-07	-1.631415e-02	-6.029209e+00
3.000000e-07	8.852161e-02	-6.218104e+00
3.100000e-07	-1.042986e-01	-6.407026e+00
3.200000e-07	1.011050e-01	-6.543891e+00
3.300000e-07	-3.960471e-02	-6.692913e+00
3.400000e-07	-1.079953e-03	-6.828604e+00
3.500000e-07	2.462645e-02	-6.924919e+00
3.600000e-07	-4.944726e-02	-7.174967e+00
3.700000e-07	1.073775e-01	-7.262836e+00
3.800000e-07	-6.489707e-02	-7.408605e+00
3.900000e-07	2.251860e-02	-7.556494e+00
4.000000e-07	-1.266272e-02	-7.712338e+00
4.100000e-07	1.234621e-02	-7.860784e+00
4.200000e-07	3.364559e-02	-7.998554e+00
4.300000e-07	-3.444620e-02	-8.134790e+00
4.400000e-07	5.540648e-02	-8.228000e+00
4.500000e-07	-2.533875e-02	-8.303862e+00
4.600000e-07	1.184040e-02	-8.400603e+00
4.700000e-07	-6.282465e-03	-8.541940e+00
4.800000e-07	1.745581e-02	-8.697357e+00
4.900000e-07	2.440691e-02	-8.808049e+00
5.000000e-07	-2.113793e-02	-8.869763e+00
5.100000e-07	2.417568e-02	-8.957572e+00
5.200000e-07	-2.542184e-03	-9.050685e+00
5.300000e-07	1.880001e-02	-9.134395e+00
5.400000e-07	-5.898239e-03	-9.209577e+00
5.500000e-07	1.107389e-02	-9.271160e+00
5.600000e-07	1.460023e-02	-9.272994e+00
5.700000e-07	3.799663e-03	-9.473338e+00
5.800000e-07	1.146093e-02	-9.577022e+00
5.900000e-07	-7.366442e-04	-9.650607e+00
6.000000e-07	7.008717e-03	-9.642737e+00
6.100000e-07	4.865084e-03	-9.776291e+00
6.200000e-07	2.258766e-02	-9.796579e+00
6.300000e-07	1.095771e-02	-9.860182e+00
6.400000e-07	1.364848e-04	-9.913813e+00
6.500000e-07	2.139360e-03	-9.946395e+00
6.600000e-07	1.230149e-02	-9.947524e+00
6.700000e-07	1.616020e-02	-1.000863e+01
6.800000e-07	5.720038e-03	-1.001118e+01
