# Temperatura_=_52.15714285714286
# Concentracion g/m^3_=_32800.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_300832.008594728
# Promedio de 56 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.407494e-09	-1.113019e-08	-3.832450e+01	-7.269576e+02
1.000000e-08	-5.404944e-09	-1.113764e-08	-3.830643e+01	-7.275143e+02
2.000000e-08	-5.400589e-09	-1.114255e-08	-3.827557e+01	-7.279547e+02
3.000000e-08	-5.394588e-09	-1.114623e-08	-3.823304e+01	-7.282681e+02
4.000000e-08	-5.386973e-09	-1.114762e-08	-3.817907e+01	-7.284409e+02
5.000000e-08	-5.377532e-09	-1.114767e-08	-3.811215e+01	-7.284608e+02
6.000000e-08	-5.366045e-09	-1.114278e-08	-3.803074e+01	-7.283212e+02
7.000000e-08	-5.352597e-09	-1.113490e-08	-3.793543e+01	-7.280245e+02
8.000000e-08	-5.336984e-09	-1.115849e-08	-3.782478e+01	-7.275826e+02
9.000000e-08	-5.319052e-09	-1.117655e-08	-3.769769e+01	-7.270151e+02
1.000000e-07	-5.299068e-09	-1.114516e-08	-3.755605e+01	-7.263454e+02
1.100000e-07	-5.277264e-09	-1.111592e-08	-3.740152e+01	-7.255951e+02
1.200000e-07	-5.253871e-09	-1.106882e-08	-3.723572e+01	-7.247784e+02
1.300000e-07	-5.229035e-09	-1.101383e-08	-3.705971e+01	-7.238982e+02
1.400000e-07	-5.202540e-09	-1.107706e-08	-3.687193e+01	-7.229454e+02
1.500000e-07	-5.174299e-09	-1.107998e-08	-3.667178e+01	-7.219006e+02
1.600000e-07	-5.144526e-09	-1.101743e-08	-3.646077e+01	-7.207392e+02
1.700000e-07	-5.113135e-09	-1.106041e-08	-3.623829e+01	-7.194382e+02
1.800000e-07	-5.079713e-09	-1.099762e-08	-3.600141e+01	-7.179821e+02
1.900000e-07	-5.044421e-09	-1.091602e-08	-3.575129e+01	-7.163681e+02
2.000000e-07	-5.007554e-09	-1.092948e-08	-3.549000e+01	-7.146065e+02
2.100000e-07	-4.968944e-09	-1.086461e-08	-3.521635e+01	-7.127192e+02
2.200000e-07	-4.928508e-09	-1.083982e-08	-3.492977e+01	-7.107336e+02
2.300000e-07	-4.886132e-09	-1.086480e-08	-3.462944e+01	-7.086750e+02
2.400000e-07	-4.841912e-09	-1.080960e-08	-3.431604e+01	-7.065599e+02
2.500000e-07	-4.795997e-09	-1.075428e-08	-3.399062e+01	-7.043901e+02
2.600000e-07	-4.748207e-09	-1.069476e-08	-3.365192e+01	-7.021514e+02
2.700000e-07	-4.698364e-09	-1.067076e-08	-3.329868e+01	-6.998158e+02
2.800000e-07	-4.646481e-09	-1.067242e-08	-3.293096e+01	-6.973477e+02
2.900000e-07	-4.592793e-09	-1.061925e-08	-3.255046e+01	-6.947120e+02
3.000000e-07	-4.537528e-09	-1.054159e-08	-3.215878e+01	-6.918820e+02
3.100000e-07	-4.480629e-09	-1.048882e-08	-3.175551e+01	-6.888464e+02
3.200000e-07	-4.421969e-09	-1.046466e-08	-3.133978e+01	-6.856112e+02
3.300000e-07	-4.361709e-09	-1.040286e-08	-3.091270e+01	-6.821985e+02
3.400000e-07	-4.300001e-09	-1.033435e-08	-3.047535e+01	-6.786410e+02
3.500000e-07	-4.236871e-09	-1.029354e-08	-3.002793e+01	-6.749738e+02
3.600000e-07	-4.172248e-09	-1.024388e-08	-2.956993e+01	-6.712262e+02
3.700000e-07	-4.105963e-09	-1.019968e-08	-2.910015e+01	-6.674153e+02
3.800000e-07	-4.038072e-09	-1.013332e-08	-2.861898e+01	-6.635425e+02
3.900000e-07	-3.968782e-09	-1.004959e-08	-2.812790e+01	-6.595943e+02
4.000000e-07	-3.898199e-09	-9.986717e-09	-2.762766e+01	-6.555470e+02
4.100000e-07	-3.826338e-09	-9.932315e-09	-2.711836e+01	-6.513737e+02
4.200000e-07	-3.753033e-09	-9.882166e-09	-2.659882e+01	-6.470520e+02
4.300000e-07	-3.678084e-09	-9.810497e-09	-2.606764e+01	-6.425697e+02
4.400000e-07	-3.601590e-09	-9.727359e-09	-2.552550e+01	-6.379284e+02
