# 260410_14:45:12.013010
t	CH1	CH2
0.000000e+00	4.737356e-04	-1.159472e-01
1.000000e-08	9.321285e-03	-4.095275e-01
2.000000e-08	-8.720190e-03	-7.163383e-01
3.000000e-08	6.928663e-03	-9.675462e-01
4.000000e-08	-7.238286e-03	-1.222788e+00
5.000000e-08	4.517205e-03	-1.530542e+00
6.000000e-08	-2.088957e-03	-1.788600e+00
7.000000e-08	3.097489e-02	-1.989632e+00
8.000000e-08	9.664692e-02	-2.286460e+00
9.000000e-08	-3.709949e-02	-2.663784e+00
1.000000e-07	-5.721619e-02	-3.074332e+00
1.100000e-07	-5.445422e-03	-3.368601e+00
1.200000e-07	-2.935021e-02	-3.559620e+00
1.300000e-07	-5.371556e-02	-3.833879e+00
1.400000e-07	1.492431e-03	-4.085387e+00
1.500000e-07	1.952738e-01	-4.263284e+00
1.600000e-07	-2.246839e-01	-4.568675e+00
1.700000e-07	1.907038e-01	-4.842862e+00
1.800000e-07	-7.052078e-02	-5.098524e+00
1.900000e-07	-6.149186e-02	-5.536887e+00
2.000000e-07	1.216100e-01	-5.718490e+00
2.100000e-07	-1.645168e-01	-6.022783e+00
2.200000e-07	2.042225e-01	-6.345462e+00
2.300000e-07	-1.229975e-01	-6.569672e+00
2.400000e-07	5.838236e-03	-6.886386e+00
2.500000e-07	4.865744e-02	-7.147614e+00
2.600000e-07	-1.140298e-01	-7.454858e+00
2.700000e-07	1.534741e-01	-7.684963e+00
2.800000e-07	-1.433301e-01	-7.981274e+00
2.900000e-07	1.677943e-01	-8.243328e+00
3.000000e-07	-1.032810e-01	-8.475966e+00
3.100000e-07	5.796097e-03	-8.799645e+00
3.200000e-07	4.283741e-02	-8.992224e+00
3.300000e-07	-6.692308e-02	-9.234754e+00
3.400000e-07	9.715893e-02	-9.513407e+00
3.500000e-07	-1.044017e-01	-9.727966e+00
3.600000e-07	1.105222e-01	-9.926962e+00
3.700000e-07	-8.169303e-02	-1.015075e+01
3.800000e-07	4.951608e-02	-1.043133e+01
3.900000e-07	-3.824745e-02	-1.063233e+01
4.000000e-07	2.498861e-02	-1.082391e+01
4.100000e-07	1.394860e-02	-1.101091e+01
4.200000e-07	-2.690119e-02	-1.123240e+01
4.300000e-07	3.704016e-02	-1.149648e+01
4.400000e-07	-3.605861e-02	-1.171709e+01
4.500000e-07	3.196893e-02	-1.195814e+01
4.600000e-07	-4.038760e-02	-1.212764e+01
4.700000e-07	5.161363e-02	-1.231947e+01
4.800000e-07	-1.995416e-02	-1.248609e+01
4.900000e-07	1.932693e-02	-1.269698e+01
5.000000e-07	-2.604321e-02	-1.288335e+01
5.100000e-07	1.879336e-02	-1.304485e+01
5.200000e-07	-6.966677e-03	-1.320224e+01
5.300000e-07	3.907633e-03	-1.334980e+01
5.400000e-07	4.667351e-03	-1.353656e+01
5.500000e-07	3.879652e-03	-1.372758e+01
5.600000e-07	3.156400e-03	-1.381125e+01
5.700000e-07	-8.179349e-03	-1.400227e+01
5.800000e-07	1.105991e-02	-1.406861e+01
5.900000e-07	-3.937781e-03	-1.424400e+01
6.000000e-07	6.976864e-03	-1.442274e+01
6.100000e-07	-2.962549e-03	-1.454808e+01
6.200000e-07	9.138866e-03	-1.466333e+01
6.300000e-07	-7.470717e-03	-1.473916e+01
6.400000e-07	-1.133669e-03	-1.485653e+01
6.500000e-07	7.988319e-04	-1.494811e+01
6.600000e-07	6.991234e-03	-1.508280e+01
6.700000e-07	4.900336e-03	-1.512814e+01
6.800000e-07	6.410092e-04	-1.521282e+01
