# 260410_14:46:05.553107
t	CH1	CH2
0.000000e+00	2.200711e-03	-1.542144e-01
1.000000e-08	6.490363e-03	-3.668922e-01
2.000000e-08	-6.286238e-03	-7.427326e-01
3.000000e-08	5.629848e-03	-9.843157e-01
4.000000e-08	-5.518098e-03	-1.227521e+00
5.000000e-08	1.787967e-03	-1.554267e+00
6.000000e-08	2.153976e-03	-1.817422e+00
7.000000e-08	3.258171e-02	-2.028947e+00
8.000000e-08	1.010532e-01	-2.280682e+00
9.000000e-08	-6.311398e-02	-2.711152e+00
1.000000e-07	-3.476509e-02	-3.141151e+00
1.100000e-07	-2.219804e-02	-3.416918e+00
1.200000e-07	-1.710152e-02	-3.557394e+00
1.300000e-07	-7.317794e-02	-3.911545e+00
1.400000e-07	3.882837e-02	-4.123133e+00
1.500000e-07	1.490089e-01	-4.332180e+00
1.600000e-07	-2.134679e-01	-4.665816e+00
1.700000e-07	1.946047e-01	-4.870581e+00
1.800000e-07	-1.011649e-01	-5.234789e+00
1.900000e-07	-1.707473e-02	-5.551556e+00
2.000000e-07	8.104246e-02	-5.754187e+00
2.100000e-07	-1.294776e-01	-6.070451e+00
2.200000e-07	1.967829e-01	-6.344257e+00
2.300000e-07	-1.422270e-01	-6.646913e+00
2.400000e-07	3.900879e-02	-6.920579e+00
2.500000e-07	1.000752e-02	-7.185207e+00
2.600000e-07	-7.580924e-02	-7.502024e+00
2.700000e-07	1.257442e-01	-7.742729e+00
2.800000e-07	-1.322020e-01	-8.056921e+00
2.900000e-07	1.667703e-01	-8.290548e+00
3.000000e-07	-1.242046e-01	-8.551102e+00
3.100000e-07	3.763207e-02	-8.827613e+00
3.200000e-07	8.003757e-03	-9.066866e+00
3.300000e-07	-3.841657e-02	-9.298526e+00
3.400000e-07	6.777353e-02	-9.530999e+00
3.500000e-07	-8.329703e-02	-9.773109e+00
3.600000e-07	1.034728e-01	-9.984262e+00
3.700000e-07	-8.495391e-02	-1.026724e+01
3.800000e-07	5.255173e-02	-1.046885e+01
3.900000e-07	-4.969333e-02	-1.067895e+01
4.000000e-07	4.053814e-02	-1.091105e+01
4.100000e-07	-3.658306e-03	-1.111807e+01
4.200000e-07	-1.292897e-02	-1.131156e+01
4.300000e-07	2.142855e-02	-1.155063e+01
4.400000e-07	-2.557826e-02	-1.182571e+01
4.500000e-07	2.000385e-02	-1.195413e+01
4.600000e-07	-3.213678e-02	-1.219426e+01
4.700000e-07	4.556033e-02	-1.239116e+01
4.800000e-07	-2.023430e-02	-1.258313e+01
4.900000e-07	1.514904e-02	-1.276151e+01
5.000000e-07	-2.429474e-02	-1.294213e+01
5.100000e-07	1.924779e-02	-1.310052e+01
5.200000e-07	-1.146272e-02	-1.322832e+01
5.300000e-07	5.457299e-03	-1.344631e+01
5.400000e-07	7.291690e-04	-1.357210e+01
5.500000e-07	5.998837e-03	-1.372303e+01
5.600000e-07	-2.956542e-03	-1.390000e+01
5.700000e-07	-6.329248e-03	-1.410641e+01
5.800000e-07	6.835761e-03	-1.422516e+01
5.900000e-07	-2.851840e-03	-1.434203e+01
6.000000e-07	3.830170e-03	-1.445876e+01
6.100000e-07	-8.075505e-04	-1.458371e+01
6.200000e-07	5.520529e-03	-1.473105e+01
6.300000e-07	-7.655310e-03	-1.481529e+01
6.400000e-07	-2.172562e-03	-1.489150e+01
6.500000e-07	1.416381e-03	-1.506726e+01
6.600000e-07	4.222348e-03	-1.512305e+01
6.700000e-07	2.289418e-03	-1.519511e+01
6.800000e-07	-1.685869e-03	-1.532987e+01
6.900000e-07	-5.412086e-04	-1.535564e+01
7.000000e-07	-2.730436e-03	-1.543684e+01
7.100000e-07	2.849251e-04	-1.550945e+01
7.200000e-07	8.272003e-04	-1.558356e+01
7.300000e-07	-8.517074e-04	-1.566872e+01
7.400000e-07	-3.124432e-04	-1.567989e+01
7.500000e-07	-1.447794e-03	-1.574318e+01
7.600000e-07	-8.967273e-04	-1.579458e+01
7.700000e-07	-8.610071e-04	-1.584669e+01
7.800000e-07	1.810223e-03	-1.585687e+01
7.900000e-07	1.000267e-03	-1.589929e+01
8.000000e-07	-7.564853e-05	-1.588897e+01
8.100000e-07	-1.054553e-04	-1.590045e+01
8.200000e-07	-5.820131e-04	-1.594240e+01
8.300000e-07	-2.209963e-03	-1.590238e+01
8.400000e-07	-2.264810e-03	-1.588095e+01
8.500000e-07	1.647697e-03	-1.592195e+01
8.600000e-07	1.291153e-03	-1.586832e+01
8.700000e-07	-3.757694e-05	-1.583824e+01
8.800000e-07	-1.700011e-03	-1.580523e+01
8.900000e-07	-1.706670e-03	-1.577571e+01
9.000000e-07	-1.077306e-03	-1.570152e+01
9.100000e-07	-2.658790e-04	-1.565995e+01
9.200000e-07	6.996795e-04	-1.561826e+01
9.300000e-07	-1.482811e-04	-1.555516e+01
9.400000e-07	-1.808614e-03	-1.554300e+01
9.500000e-07	-1.592209e-03	-1.543934e+01
9.600000e-07	-9.105027e-05	-1.536571e+01
9.700000e-07	-1.362402e-03	-1.528940e+01
9.800000e-07	-1.406957e-03	-1.519521e+01
9.900000e-07	-3.153958e-04	-1.511260e+01
1.000000e-06	4.222073e-05	-1.499824e+01
1.010000e-06	-1.435360e-03	-1.491291e+01
1.020000e-06	-1.951218e-03	-1.482634e+01
1.030000e-06	-1.472378e-03	-1.469260e+01
1.040000e-06	-1.721114e-03	-1.458667e+01
1.050000e-06	-6.515508e-04	-1.446992e+01
1.060000e-06	-7.338466e-04	-1.436358e+01
1.070000e-06	-1.100028e-03	-1.419769e+01
1.080000e-06	-1.600820e-03	-1.407027e+01
1.090000e-06	-2.509237e-03	-1.393193e+01
1.100000e-06	-1.283435e-03	-1.372561e+01
1.110000e-06	-1.729247e-03	-1.357679e+01
1.120000e-06	-1.685186e-03	-1.337932e+01
1.130000e-06	-1.740509e-03	-1.331350e+01
1.140000e-06	-2.110753e-03	-1.311361e+01
1.150000e-06	-1.919950e-03	-1.295424e+01
1.160000e-06	-5.086567e-04	-1.276676e+01
1.170000e-06	-1.974311e-03	-1.258919e+01
1.180000e-06	-2.079684e-03	-1.242845e+01
1.190000e-06	-2.114160e-03	-1.218989e+01
1.200000e-06	-2.054232e-03	-1.205935e+01
1.210000e-06	-2.667439e-03	-1.181887e+01
1.220000e-06	-2.952907e-03	-1.159874e+01
1.230000e-06	-2.275042e-03	-1.138619e+01
1.240000e-06	-2.460393e-03	-1.111418e+01
1.250000e-06	-3.687821e-03	-1.088358e+01
1.260000e-06	-2.035828e-03	-1.072416e+01
1.270000e-06	-2.748756e-03	-1.050608e+01
1.280000e-06	-3.248873e-03	-1.024055e+01
1.290000e-06	-3.223025e-03	-1.002035e+01
1.300000e-06	-2.606402e-03	-9.810874e+00
1.310000e-06	-3.172730e-03	-9.560749e+00
1.320000e-06	-3.182804e-03	-9.327238e+00
1.330000e-06	-3.659185e-03	-9.094160e+00
1.340000e-06	-3.333312e-03	-8.832512e+00
1.350000e-06	-3.973148e-03	-8.611473e+00
1.360000e-06	-3.658728e-03	-8.367268e+00
1.370000e-06	-3.948603e-03	-8.127763e+00
1.380000e-06	-4.048790e-03	-7.874506e+00
1.390000e-06	-2.572842e-03	-7.538320e+00
1.400000e-06	-3.416339e-03	-7.293166e+00
1.410000e-06	-2.969137e-03	-7.011458e+00
1.420000e-06	-5.325190e-03	-6.748791e+00
1.430000e-06	-3.423336e-03	-6.495206e+00
1.440000e-06	-4.946777e-03	-6.192979e+00
1.450000e-06	-1.814092e-03	-5.946717e+00
1.460000e-06	-5.285099e-03	-5.674063e+00
1.470000e-06	-3.053182e-03	-5.398896e+00
1.480000e-06	-4.951719e-03	-5.115186e+00
1.490000e-06	-2.780152e-03	-4.738335e+00
1.500000e-06	-4.940396e-03	-4.435659e+00
1.510000e-06	-2.251847e-03	-4.182077e+00
1.520000e-06	-4.667085e-03	-3.959295e+00
1.530000e-06	-4.091188e-03	-3.612555e+00
1.540000e-06	-5.571512e-03	-3.411026e+00
1.550000e-06	-4.394253e-03	-3.038188e+00
1.560000e-06	-5.577493e-03	-2.760423e+00
1.570000e-06	-3.785771e-03	-2.475766e+00
1.580000e-06	-4.040427e-03	-2.193025e+00
1.590000e-06	-4.701982e-03	-1.876817e+00
1.600000e-06	-6.282735e-03	-1.665133e+00
1.610000e-06	-5.040449e-03	-1.306240e+00
1.620000e-06	-3.839809e-03	-9.820290e-01
1.630000e-06	-4.767491e-03	-7.287410e-01
1.640000e-06	-4.165064e-03	-3.710276e-01
1.650000e-06	-3.497861e-03	-9.836725e-02
1.660000e-06	6.108461e-03	2.047906e-01
1.670000e-06	-1.786857e-03	4.921513e-01
1.680000e-06	1.749459e-04	7.047355e-01
1.690000e-06	7.972656e-04	1.007438e+00
1.700000e-06	-1.130441e-03	1.313238e+00
1.710000e-06	-2.871656e-03	1.648895e+00
1.720000e-06	3.847467e-03	1.902651e+00
1.730000e-06	1.522650e-02	2.154680e+00
1.740000e-06	6.343911e-02	2.405392e+00
1.750000e-06	4.097548e-02	2.733183e+00
1.760000e-06	-9.025108e-02	3.110477e+00
1.770000e-06	-9.116118e-03	3.362810e+00
1.780000e-06	-3.682292e-02	3.678972e+00
1.790000e-06	1.789056e-03	3.891659e+00
1.800000e-06	-5.267045e-02	4.182205e+00
1.810000e-06	3.032716e-02	4.356363e+00
1.820000e-06	8.994884e-02	4.710498e+00
1.830000e-06	-1.283103e-01	4.985288e+00
1.840000e-06	1.147298e-01	5.249971e+00
1.850000e-06	-1.877602e-02	5.544184e+00
1.860000e-06	-8.662094e-02	5.868397e+00
1.870000e-06	7.430629e-02	6.172107e+00
1.880000e-06	-3.403828e-02	6.376312e+00
1.890000e-06	6.662525e-02	6.708869e+00
1.900000e-06	-7.021810e-02	6.992734e+00
1.910000e-06	1.508130e-03	7.216818e+00
1.920000e-06	1.956550e-02	7.540178e+00
1.930000e-06	-2.354518e-02	7.796315e+00
1.940000e-06	3.061411e-02	8.086970e+00
1.950000e-06	-5.002440e-02	8.344234e+00
1.960000e-06	6.751355e-02	8.604260e+00
1.970000e-06	-3.987956e-02	8.794866e+00
1.980000e-06	-7.252201e-03	9.037919e+00
1.990000e-06	1.001862e-02	9.290579e+00
2.000000e-06	-2.534526e-02	9.573081e+00
2.010000e-06	2.836923e-02	9.835767e+00
2.020000e-06	-2.621463e-02	9.996288e+00
2.030000e-06	2.686784e-02	1.025844e+01
2.040000e-06	-4.217105e-02	1.049739e+01
2.050000e-06	1.597968e-02	1.071053e+01
2.060000e-06	-9.287151e-03	1.094158e+01
2.070000e-06	8.864402e-03	1.112263e+01
2.080000e-06	-7.585998e-03	1.135218e+01
2.090000e-06	-1.450444e-02	1.158421e+01
2.100000e-06	1.432466e-02	1.182631e+01
2.110000e-06	-1.088713e-02	1.201426e+01
2.120000e-06	-1.940370e-03	1.223581e+01
2.130000e-06	-1.796604e-02	1.240414e+01
2.140000e-06	2.063893e-02	1.259374e+01
2.150000e-06	-4.791132e-03	1.275311e+01
2.160000e-06	-8.071608e-03	1.297205e+01
2.170000e-06	-1.354146e-02	1.312900e+01
2.180000e-06	1.246539e-03	1.330842e+01
2.190000e-06	1.125520e-03	1.345687e+01
2.200000e-06	-1.035676e-02	1.359473e+01
2.210000e-06	3.441623e-04	1.377365e+01
2.220000e-06	-5.861893e-03	1.393245e+01
2.230000e-06	8.064155e-04	1.405891e+01
2.240000e-06	-1.075360e-02	1.426426e+01
2.250000e-06	-2.425463e-03	1.442471e+01
2.260000e-06	-6.246797e-03	1.453097e+01
2.270000e-06	-2.088404e-03	1.465731e+01
2.280000e-06	-9.636933e-04	1.474108e+01
2.290000e-06	-7.264214e-03	1.483884e+01
2.300000e-06	-8.469712e-03	1.495313e+01
2.310000e-06	-8.113164e-03	1.508837e+01
