# Configuracion:
# Concentracion g/m^3_=_24000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_301523.0343731868
# 
Resultados:
# tau_ns_=_(2.80+/-0.09)e+02
# dphi_rad_=_6.77+/-0.01
# SAR_W/g_=_2078.09+/-73.63
# Hc_kA/m_=_29.87+/-0.69
# Mr_A/m_=_1074.97+/-44.68
# Magnetizacion_max_emu/g_=_54.5+/-2.0
# Suceptibilidad_a_M=0_=_(1.096+/-0.079)e-01

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN1NF13h0013.txt	5.69	23.25	1002.24	30.90	57041.50	1245.86	3.015292e+05	9.912611e+01	6.787378e+00	2019.65	291.239337	4643	9.452e-02
300kHz_150dA_100Mss_bobN1NF13h0014.txt	6.2	25.46	1043.69	31.04	57041.50	1289.57	3.015292e+05	1.027232e+02	6.790809e+00	2105.94	293.608680	4643	9.987e-02
300kHz_150dA_100Mss_bobN1NF13h0015.txt	6.73	30.65	1053.68	30.71	57041.50	1291.08	3.015292e+05	1.032428e+02	6.786469e+00	2100.06	290.614692	4643	1.034e-01
300kHz_150dA_100Mss_bobN1NF13h0016.txt	7.24	35.68	1059.28	30.70	57041.50	1290.41	3.015292e+05	1.033628e+02	6.787668e+00	2107.08	291.441351	4643	1.047e-01
300kHz_150dA_100Mss_bobN1NF13h0017.txt	7.76	40.82	1062.58	30.50	57041.50	1293.82	3.015292e+05	1.037639e+02	6.783763e+00	2100.28	288.758060	4643	1.039e-01
300kHz_150dA_100Mss_bobN1NF13h0018.txt	8.29	45.98	1062.63	30.42	57041.50	1293.73	3.015292e+05	1.037703e+02	6.782202e+00	2094.42	287.689377	4643	1.039e-01
300kHz_150dA_100Mss_bobN1NF13h0019.txt	9.34	55.89	1056.01	29.96	57041.50	1279.13	3.015292e+05	1.028909e+02	6.774207e+00	2046.14	282.239760	4643	1.077e-01
300kHz_150dA_100Mss_bobN1NF13h0020.txt	9.85	60.54	1045.02	29.92	57041.50	1267.20	3.015292e+05	1.019349e+02	6.772701e+00	2021.41	281.221724	4643	1.075e-01
300kHz_150dA_100Mss_bobN1NF13h0021.txt	10.4	67.62	1027.46	29.40	57041.50	1249.65	3.015292e+05	1.005788e+02	6.761744e+00	1953.38	273.837319	4643	1.050e-01
300kHz_150dA_100Mss_bobN1NF13h0022.txt	10.92	75.06	1003.92	29.13	57041.50	1220.18	3.015292e+05	9.833103e+01	6.757022e+00	1892.32	270.681225	4643	1.046e-01
300kHz_150dA_100Mss_bobN1NF13h0023.txt	11.44	80.34	1118.44	29.71	57041.50	1343.05	3.015292e+05	1.083382e+02	6.772380e+00	2147.10	281.000907	4643	1.159e-01
300kHz_150dA_100Mss_bobN1NF13h0024.txt	11.94	85.04	1135.82	29.65	57041.50	1360.72	3.015292e+05	1.098668e+02	6.771474e+00	2173.69	280.382998	4643	1.190e-01
300kHz_150dA_100Mss_bobN1NF13h0025.txt	12.45	89.47	1136.77	29.32	57041.50	1369.28	3.015292e+05	1.105179e+02	6.763556e+00	2153.91	275.046833	4643	1.187e-01
300kHz_150dA_100Mss_bobN1NF13h0026.txt	12.98	94.03	1136.05	29.43	57041.50	1373.30	3.015292e+05	1.107208e+02	6.764418e+00	2161.43	275.626879	4643	1.179e-01
300kHz_150dA_100Mss_bobN1NF13h0027.txt	13.48	95.98	1134.10	29.10	57041.50	1379.29	3.015292e+05	1.110819e+02	6.756453e+00	2135.33	270.300598	4643	1.206e-01
300kHz_150dA_100Mss_bobN1NF13h0028.txt	13.99	97.86	1111.92	28.89	57041.50	1358.57	3.015292e+05	1.093634e+02	6.750769e+00	2078.93	266.521228	4643	1.206e-01
300kHz_150dA_100Mss_bobN1NF13h0029.txt	14.5	72.75	1084.94	28.99	57041.50	1326.40	3.015292e+05	1.067187e+02	6.752709e+00	2036.45	267.810943	4643	1.162e-01
